Time,MPD,LN-MPD
2016-11-25 13:45,720,6.579251212
2016-11-25 17:45,900,6.802394763
2016-11-25 21:45,617,6.424869024
2016-11-26 1:45,289,5.666426688
2016-11-26 5:45,327,5.789960171
2016-11-26 9:45,316,5.755742214
2016-11-26 13:45,369,5.910796644
2016-11-26 17:45,499,6.212606096
2016-11-26 21:45,413,6.023447593
2016-11-27 1:45,377,5.932245187
2016-11-27 5:45,419,6.03787092
2016-11-27 9:45,399,5.988961417
2016-11-27 13:45,615,6.421622268
2016-11-27 17:45,883,6.783325201
2016-11-27 21:45,674,6.513230111
2016-11-28 1:45,896,6.797940413
2016-11-28 5:45,1227,7.112327445
2016-11-28 9:45,975,6.882437471
2016-11-28 13:45,1088,6.992096427
2016-11-28 17:45,652,6.480044562
2016-11-28 21:45,386,5.955837369
2016-11-29 1:45,233,5.451038454
2016-11-29 5:45,339,5.826000107
2016-11-29 9:45,474,6.161207322
2016-11-29 13:45,865,6.762729507
2016-11-29 17:45,885,6.785587645
2016-11-29 21:45,282,5.641907071
2016-11-30 1:45,230,5.438079309
2016-11-30 5:45,220,5.393627546
2016-11-30 9:45,293,5.680172609
2016-11-30 13:45,351,5.860786223
2016-11-30 17:45,348,5.85220248
2016-11-30 21:45,549,6.308098442
2016-12-1 1:45,451,6.11146734
2016-12-1 5:45,456,6.12249281
2016-12-1 9:45,435,6.075346031
2016-12-1 13:45,322,5.774551546
2016-12-1 17:45,198,5.288267031
2016-12-1 21:45,147,4.990432587
2016-12-2 1:45,197,5.283203729
2016-12-2 5:45,138,4.927253685
2016-12-2 9:45,163,5.093750201
2016-12-2 13:45,232,5.446737372
2016-12-2 17:45,165,5.105945474
2016-12-2 21:45,916,6.820016365
2016-12-3 1:45,339,5.826000107
2016-12-3 5:45,130,4.86753445
2016-12-3 9:45,87,4.465908119
2016-12-3 13:45,67,4.204692619
2016-12-3 17:45,76,4.33073334
2016-12-3 21:45,58,4.060443011
2016-12-4 1:45,33,3.496507561
2016-12-4 5:45,37,3.610917913
2016-12-4 9:45,47,3.850147602
2016-12-4 13:45,40,3.688879454
2016-12-4 17:45,45,3.80666249
2016-12-4 21:45,32,3.465735903
2016-12-5 1:45,22,3.091042453
2016-12-5 5:45,18,2.890371758
2016-12-5 9:45,22,3.091042453
2016-12-5 13:45,30,3.401197382
2016-12-5 17:45,25,3.218875825
2016-12-5 21:45,21,3.044522438
2016-12-6 1:45,28,3.33220451
2016-12-6 5:45,29,3.36729583
2016-12-6 9:45,39,3.663561646
2016-12-6 13:45,70,4.248495242
2016-12-6 17:45,269,5.59471138
2016-12-6 21:45,625,6.43775165
2016-12-7 1:45,1219,7.105786129
2016-12-7 5:45,1188,7.0800265
2016-12-7 9:45,952,6.858565035
2016-12-7 13:45,889,6.790097236
2016-12-7 17:45,943,6.849066283
2016-12-7 21:45,1083,6.987490247
2016-12-8 1:45,383,5.948034989
2016-12-8 5:45,192,5.257495372
2016-12-8 9:45,342,5.834810737
2016-12-8 13:45,824,6.71417053
2016-12-8 17:45,886,6.786716951
2016-12-8 21:45,712,6.568077911
2016-12-9 1:45,362,5.891644212
2016-12-9 5:45,349,5.855071922
2016-12-9 9:45,357,5.877735782
2016-12-9 13:45,281,5.638354669
2016-12-9 17:45,236,5.463831805
2016-12-9 21:45,167,5.117993812
2016-12-10 1:45,99,4.59511985
2016-12-10 5:45,132,4.882801923
2016-12-10 9:45,161,5.081404365
2016-12-10 13:45,310,5.736572297
2016-12-10 17:45,591,6.381816017
2016-12-10 21:45,721,6.580639137
2016-12-11 1:45,776,6.65415252
2016-12-11 5:45,656,6.486160789
2016-12-11 9:45,639,6.459904454
2016-12-11 13:45,472,6.156978986
2016-12-11 17:45,669,6.50578406
2016-12-11 21:45,763,6.637258031
2016-12-12 1:45,385,5.953243334
2016-12-12 5:45,250,5.521460918
2016-12-12 9:45,429,6.061456919
2016-12-12 13:45,442,6.091309882
2016-12-12 17:45,491,6.196444128
2016-12-12 21:45,514,6.242223265
2016-12-13 1:45,446,6.100318952
2016-12-13 5:45,353,5.866468057
2016-12-13 9:45,255,5.541263545
2016-12-13 13:45,74,4.304065093
2016-12-13 17:45,55,4.007333185
2016-12-13 21:45,107,4.672828834
2016-12-14 1:45,157,5.056245805
2016-12-14 5:45,218,5.384495063
2016-12-14 9:45,314,5.749392986
2016-12-14 13:45,525,6.263398263
2016-12-14 17:45,609,6.411818268
2016-12-14 21:45,578,6.359573869
2016-12-15 1:45,362,5.891644212
2016-12-15 5:45,91,4.510859507
2016-12-15 9:45,57,4.043051268
2016-12-15 13:45,34,3.526360525
2016-12-15 17:45,22,3.091042453
2016-12-15 21:45,23,3.135494216
2016-12-16 1:45,9,2.197224577
2016-12-16 5:45,14,2.63905733
2016-12-16 9:45,29,3.36729583
2016-12-16 13:45,65,4.17438727
2016-12-16 17:45,157,5.056245805
2016-12-16 21:45,343,5.837730447
2016-12-17 1:45,406,6.00635316
2016-12-17 5:45,464,6.139884552
2016-12-17 9:45,927,6.831953566
2016-12-17 13:45,465,6.142037406
2016-12-17 17:45,347,5.84932478
2016-12-17 21:45,203,5.313205979
2016-12-18 1:45,285,5.65248918
2016-12-18 5:45,185,5.220355825
2016-12-18 9:45,319,5.765191103
2016-12-18 13:45,868,6.766191715
2016-12-18 17:45,1393,7.239214974
2016-12-18 21:45,1029,6.936342736
2016-12-19 1:45,573,6.350885717
2016-12-19 5:45,500,6.214608098
2016-12-19 9:45,722,6.582025139
2016-12-19 13:45,797,6.680854679
2016-12-19 17:45,909,6.812345094
2016-12-19 21:45,681,6.523562306
2016-12-20 1:45,337,5.82008293
2016-12-20 5:45,492,6.198478716
2016-12-20 9:45,533,6.278521424
2016-12-20 13:45,354,5.869296913
2016-12-20 17:45,194,5.267858159
2016-12-20 21:45,196,5.278114659
2016-12-21 1:45,142,4.955827058
2016-12-21 5:45,120,4.787491743
2016-12-21 9:45,81,4.394449155
2016-12-21 13:45,297,5.693732139
2016-12-21 17:45,1330,7.192934221
2016-12-21 21:45,1258,7.137278437
2016-12-22 1:45,545,6.300785795
2016-12-22 5:45,551,6.311734809
2016-12-22 9:45,482,6.177944114
2016-12-22 13:45,528,6.269096284
2016-12-22 17:45,472,6.156978986
2016-12-22 21:45,337,5.82008293
2016-12-23 1:45,232,5.446737372
2016-12-23 5:45,290,5.669880923
2016-12-23 9:45,340,5.828945618
