Time,MPD,LN-MPD
2017-4-12 1:45,215,5.370638028
2017-4-12 5:45,301,5.707110265
2017-4-12 9:45,196,5.278114659
2017-4-12 13:45,216,5.375278408
2017-4-12 17:45,146,4.983606622
2017-4-12 21:45,171,5.141663557
2017-4-13 1:45,685,6.529418838
2017-4-13 5:45,1283,7.156956365
2017-4-13 9:45,1491,7.307202315
2017-4-13 13:45,967,6.874198495
2017-4-13 17:45,1040,6.946975992
2017-4-13 21:45,2279,7.731492029
2017-4-14 1:45,1794,7.492203043
2017-4-14 5:45,732,6.595780514
2017-4-14 9:45,390,5.966146739
2017-4-14 13:45,637,6.456769656
2017-4-14 17:45,335,5.814130532
2017-4-14 21:45,493,6.200509174
2017-4-15 1:45,544,6.298949247
2017-4-15 5:45,1008,6.915723449
2017-4-15 9:45,838,6.7310181
2017-4-15 13:45,1077,6.981934677
2017-4-15 17:45,1899,7.549082711
2017-4-15 21:45,1068,6.97354302
2017-4-16 1:45,672,6.510258341
2017-4-16 5:45,556,6.320768294
2017-4-16 9:45,674,6.513230111
2017-4-16 13:45,486,6.186208624
2017-4-16 17:45,270,5.598421959
2017-4-16 21:45,324,5.780743516
2017-4-17 1:45,373,5.92157842
2017-4-18 9:45,2276,7.730174795
2017-4-18 11:45,680,6.522092798
2017-4-18 13:45,2074,7.637234389
2017-4-18 17:45,1784,7.486613313
2017-4-18 21:45,1646,7.406103381
2017-4-19 1:45,874,6.773080376
2017-4-19 5:45,816,6.704414355
2017-4-19 9:45,702,6.553933404
2017-4-19 13:45,594,6.386879319
2017-4-19 17:45,951,6.857514063
2017-4-19 21:45,969,6.876264612
2017-4-20 1:45,1371,7.22329568
2017-4-20 5:45,1388,7.235619141
2017-4-20 9:45,944,6.850126166
2017-4-20 13:45,414,6.025865974
2017-4-20 17:45,253,5.533389489
2017-4-20 21:45,441,6.089044875
2017-4-21 1:45,576,6.356107661
2017-4-21 5:45,601,6.398594935
2017-4-21 9:45,754,6.625392368
2017-4-21 13:45,2253,7.72001794
2017-4-21 17:45,300,5.703782475
2017-4-21 21:45,223,5.407171771
2017-4-22 1:45,113,4.727387819
2017-4-22 5:45,56,4.025351691
2017-4-22 9:45,647,6.472346295
2017-4-22 13:45,184,5.214935758
2017-4-22 17:45,308,5.730099783
2017-4-22 21:45,366,5.902633333
2017-4-23 1:45,801,6.685860947
2017-4-23 5:45,611,6.415096959
2017-4-23 9:45,411,6.018593214
2017-4-23 13:45,493,6.200509174
2017-4-23 17:45,603,6.401917197
2017-4-23 21:45,474,6.161207322
2017-4-24 1:45,528,6.269096284
2017-4-24 5:45,871,6.769641977
2017-4-24 9:45,565,6.336825731
2017-4-24 13:45,757,6.629363253
2017-4-24 17:45,783,6.663132696
2017-4-24 21:45,729,6.591673732
2017-4-25 1:45,497,6.208590026
2017-4-25 5:45,689,6.535241271
2017-4-25 9:45,594,6.386879319
2017-4-25 13:45,501,6.216606101
2017-4-25 17:45,542,6.295266001
2017-4-25 21:45,736,6.601230119
2017-4-26 1:45,761,6.634633358
2017-4-26 5:45,617,6.424869024
2017-4-26 9:45,813,6.70073111
2017-4-26 13:45,712,6.568077911
2017-4-26 17:45,850,6.745236349
2017-4-26 21:45,830,6.721425701
2017-4-27 1:45,954,6.860663671
2017-4-27 5:45,842,6.735780014
