Time,PPD,LN-PPD
2017-4-12 1:45,132,4.882801923
2017-4-12 9:45,105,4.65396035
2017-4-12 17:45,85,4.442651256
2017-4-13 1:45,69,4.234106505
2017-4-13 9:45,53,3.970291914
2017-4-13 17:45,63,4.143134726
2017-4-14 1:45,36,3.583518938
2017-4-14 9:45,42,3.737669618
2017-4-14 17:45,32,3.465735903
2017-4-15 1:45,55,4.007333185
2017-4-15 9:45,51,3.931825633
2017-4-15 17:45,33,3.496507561
2017-4-16 1:45,42,3.737669618
2017-4-16 9:45,21,3.044522438
2017-4-16 17:45,30,3.401197382
2017-4-17 1:45,23,3.135494216
2017-4-18 9:45,95,4.553876892
2017-4-18 11:45,77,4.343805422
2017-4-18 13:45,52,3.951243719
2017-4-18 17:45,50,3.912023005
2017-4-19 1:45,109,4.691347882
2017-4-19 9:45,47,3.850147602
2017-4-19 17:45,167,5.117993812
2017-4-19 21:45,42,3.737669618
2017-4-20 1:45,43,3.761200116
2017-4-20 5:45,53,3.970291914
2017-4-20 9:45,50,3.912023005
2017-4-20 13:45,62,4.127134385
2017-4-20 17:45,74,4.304065093
2017-4-20 21:45,65,4.17438727
2017-4-21 1:45,64,4.158883083
2017-4-21 5:45,58,4.060443011
2017-4-21 9:45,65,4.17438727
2017-4-21 17:45,87,4.465908119
2017-4-22 1:45,96,4.564348191
2017-4-22 9:45,73,4.290459441
2017-4-22 17:45,52,3.951243719
2017-4-23 1:45,62,4.127134385
2017-4-23 9:45,58,4.060443011
2017-4-23 17:45,82,4.406719247
2017-4-24 1:45,71,4.262679877
2017-4-24 9:45,62,4.127134385
2017-4-24 17:45,57,4.043051268
2017-4-25 1:45,61,4.110873864
2017-4-25 9:45,57,4.043051268
2017-4-25 17:45,93,4.532599493
2017-4-26 1:45,96,4.564348191
2017-4-26 5:45,168,5.123963979
2017-4-26 9:45,115,4.744932128
2017-4-26 17:45,85,4.442651256
2017-4-27 1:45,86,4.454347296
2017-4-27 9:45,83,4.418840608
2017-4-27 17:45,132,4.882801923
2017-4-28 1:45,253,5.533389489
2017-4-28 3:45,208,5.33753808
2017-4-28 5:45,169,5.129898715
2017-4-28 9:45,108,4.682131227
2017-4-28 17:45,90,4.49980967
2017-4-28 21:45,121,4.795790546
2017-4-29 1:45,68,4.219507705
2017-4-29 5:45,94,4.543294782
2017-4-29 9:45,140,4.941642423
2017-4-29 17:45,165,5.105945474
2017-4-30 1:45,95,4.553876892
2017-4-30 9:45,57,4.043051268
2017-4-30 17:45,46,3.828641396
2017-5-1 1:45,67,4.204692619
2017-5-1 9:45,33,3.496507561
2017-5-1 13:45,38,3.63758616
2017-5-1 17:45,36,3.583518938
2017-5-2 1:45,34,3.526360525
2017-5-2 9:45,34,3.526360525
2017-5-2 17:45,48,3.871201011
2017-5-3 1:45,53,3.970291914
2017-5-3 9:45,51,3.931825633
2017-5-3 17:45,40,3.688879454
2017-5-4 1:45,40,3.688879454
2017-5-4 9:45,35,3.555348061
2017-5-4 17:45,32,3.465735903
2017-5-5 1:45,50,3.912023005
2017-5-5 9:45,40,3.688879454
2017-5-5 17:45,41,3.713572067
2017-5-6 1:45,41,3.713572067
2017-5-6 9:45,41,3.713572067
2017-5-6 17:45,40,3.688879454
2017-5-7 1:45,35,3.555348061
2017-5-7 9:45,7,1.945910149
2017-5-7 17:45,62,4.127134385
2017-5-8 1:45,42,3.737669618
2017-5-8 9:45,38,3.63758616
2017-5-8 17:45,34,3.526360525
2017-5-9 1:45,51,3.931825633
2017-5-9 17:45,58,4.060443011
2017-5-10 1:45,44,3.784189634
2017-5-10 9:45,36,3.583518938
2017-5-10 17:45,40,3.688879454
2017-5-11 1:45,69,4.234106505
2017-5-11 9:45,43,3.761200116
2017-5-11 17:45,50,3.912023005
2017-5-12 1:45,53,3.970291914
2017-5-12 9:45,51,3.931825633
2017-5-12 17:45,66,4.189654742
2017-5-13 1:45,77,4.343805422
2017-5-13 9:45,51,3.931825633
2017-5-13 17:45,56,4.025351691
2017-5-14 1:45,48,3.871201011
2017-5-14 9:45,69,4.234106505
2017-5-14 17:45,55,4.007333185
2017-5-15 1:45,59,4.077537444
2017-5-15 9:45,53,3.970291914
2017-5-15 17:45,59,4.077537444
