Time,MPD,LN-MPD
2014-5-1 2:30,548,6.306275287
2014-5-1 6:30,548,6.306275287
2014-5-1 10:30,486,6.186208624
2014-5-1 14:30,496,6.206575927
2014-5-1 18:30,646,6.470799504
2014-5-1 22:30,548,6.306275287
2014-5-2 2:30,410,6.01615716
2014-5-2 6:30,532,6.276643489
2014-5-2 10:30,628,6.442540166
2014-5-2 14:30,809,6.695798917
2014-5-2 18:30,671,6.508769137
2014-5-2 22:30,857,6.753437919
2014-5-3 2:30,811,6.698268054
2014-5-3 6:30,836,6.728628613
2014-5-3 10:30,657,6.487684018
2014-5-3 14:30,672,6.510258341
2014-5-3 18:30,646,6.470799504
2014-5-3 22:30,739,6.605297921
2014-5-4 2:30,596,6.390240667
2014-5-4 6:30,508,6.230481448
2014-5-4 10:30,516,6.246106765
2014-5-4 14:30,453,6.115892125
2014-5-4 18:30,429,6.061456919
2014-5-4 22:30,380,5.940171253
2014-5-5 2:30,388,5.96100534
2014-5-5 6:30,442,6.091309882
2014-5-5 10:30,409,6.013715156
2014-5-5 14:30,603,6.401917197
2014-5-5 18:30,830,6.721425701
2014-5-5 22:30,814,6.701960366
2014-5-6 2:30,680,6.522092798
2014-5-6 6:30,1094,6.997595983
2014-5-6 10:30,1419,7.257707677
2014-5-6 14:30,1472,7.294377299
2014-5-6 18:30,1395,7.240649694
2014-5-6 22:30,1732,7.457032089
2014-5-7 2:30,1691,7.433075349
2014-5-7 6:30,1548,7.344719054
2014-5-7 10:30,1425,7.261927093
2014-5-7 14:30,1221,7.107425474
2014-5-7 18:30,1215,7.102499356
2014-5-7 22:30,1099,7.002155954
2014-5-8 2:30,919,6.823286122
2014-5-8 6:30,1019,6.926577033
2014-5-8 10:30,1120,7.021083964
2014-5-8 14:30,1123,7.023758955
2014-5-8 18:30,1136,7.035268599
2014-5-8 22:30,1189,7.080867897
2014-5-9 2:30,949,6.855408799
2014-5-9 6:30,1333,7.19518732
2014-5-9 10:30,919,6.823286122
2014-5-9 14:30,942,6.848005275
2014-5-9 18:30,818,6.706862337
2014-5-9 22:30,693,6.541029999
2014-5-10 2:30,611,6.415096959
2014-5-10 6:30,642,6.464588304
2014-5-10 10:30,615,6.421622268
2014-5-10 14:30,995,6.902742737
2014-5-10 18:30,952,6.858565035
2014-5-10 22:30,1970,7.585788822
2014-5-11 2:30,1904,7.551712215
2014-5-11 6:30,2097,7.648263031
2014-5-12 10:30,1375,7.22620901
2014-5-12 14:30,1856,7.526178913
2014-5-12 18:30,1839,7.516977225
2014-5-12 22:30,1699,7.437795122
2014-5-13 2:30,1045,6.951772164
2014-5-13 6:30,1290,7.162397497
2014-5-13 10:30,1512,7.321188557
2014-5-13 14:30,1696,7.436027816
2014-5-13 18:30,1832,7.513163545
2014-5-13 22:30,1780,7.484368643
2014-5-14 2:30,1076,6.981005741
2014-5-14 6:30,1467,7.290974778
2014-5-14 10:30,1983,7.592366129
2014-5-14 14:30,2068,7.634337236
2014-5-14 18:30,1829,7.511524648
2014-5-14 22:30,2369,7.770223204
2014-5-15 2:30,1826,7.509883061
2014-5-15 6:30,1823,7.508238775
2014-5-15 10:30,1917,7.558516743
2014-5-15 14:30,1779,7.483806688
2014-5-15 18:30,1467,7.290974778
2014-5-15 22:30,1211,7.099201744
2014-5-16 2:30,1072,6.977281342
2014-5-16 6:30,1013,6.920671504
2014-5-16 10:30,1300,7.170119543
2014-5-16 14:30,1669,7.419979924
2014-5-16 18:30,1814,7.503289631
2014-5-16 22:30,1330,7.192934221
2014-5-17 2:30,1207,7.095893221
2014-5-17 6:30,1311,7.178545484
2014-5-17 10:30,1238,7.121252453
2014-5-17 14:30,1331,7.193685818
2014-5-17 18:30,1245,7.126890809
2014-5-17 22:30,1286,7.159291905
2014-5-18 2:30,1144,7.042286172
2014-5-18 6:30,1275,7.150701458
2014-5-18 10:30,1237,7.120444372
2014-5-18 14:30,1380,7.229838778
2014-5-18 18:30,1616,7.387709239
2014-5-18 22:30,1477,7.297768283
2014-5-19 2:30,1386,7.23417718
2014-5-19 6:30,1668,7.419380583
2014-5-19 10:30,1687,7.430707083
2014-5-19 14:30,1621,7.390798522
2014-5-19 18:30,1650,7.408530567
2014-5-19 22:30,1537,7.337587744
2014-5-20 2:30,1301,7.170888479
2014-5-20 6:30,1395,7.240649694
2014-5-20 10:30,1696,7.436027816
2014-5-20 14:30,1818,7.505492275
2014-5-20 18:30,1640,7.402451521
2014-5-20 22:30,1272,7.148345744
2014-5-21 2:30,1329,7.192182059
2014-5-21 6:30,1231,7.115582126
2014-5-21 10:30,1085,6.989335266
2014-5-21 14:30,1195,7.085901464
2014-5-21 18:30,769,6.64509097
2014-5-21 22:30,647,6.472346295
2014-5-22 2:30,513,6.240275845
2014-5-22 6:30,496,6.206575927
2014-5-22 10:30,577,6.357842267
2014-5-22 14:30,688,6.533788838
2014-5-22 18:30,832,6.723832441
2014-5-22 22:30,868,6.766191715
2014-5-23 2:30,741,6.608000625
2014-5-23 6:30,770,6.646390515
2014-5-23 10:30,601,6.398594935
2014-5-23 14:30,681,6.523562306
2014-5-23 18:30,648,6.473890696
2014-5-23 22:30,634,6.452048954
2014-5-24 2:30,522,6.257667588
2014-5-24 6:30,600,6.396929655
2014-5-24 10:30,660,6.492239835
2014-5-24 14:30,847,6.741700695
2014-5-24 18:30,682,6.525029658
2014-5-24 22:30,646,6.470799504
2014-5-25 2:30,677,6.517671273
2014-5-25 6:30,1024,6.931471806
2014-5-25 10:30,1316,7.182352112
2014-5-25 14:30,1147,7.044905117
2014-5-25 18:30,932,6.837332815
2014-5-25 22:30,993,6.900730664
2014-5-26 2:30,923,6.827629235
2014-5-26 6:30,1222,7.10824414
2014-5-26 10:30,790,6.672032945
2014-5-26 14:30,1109,7.011213987
2014-5-26 18:30,1014,6.921658184
2014-5-26 22:30,1171,7.065613364
2014-5-27 2:30,894,6.795705775
2014-5-27 6:30,659,6.490723535
2014-5-27 10:30,516,6.246106765
2014-5-27 14:30,527,6.267200549
2014-5-27 18:30,519,6.251903883
2014-5-27 22:30,524,6.261491684
2014-5-28 2:30,519,6.251903883
2014-5-28 6:30,747,6.616065185
2014-5-28 10:30,644,6.467698726
2014-5-29 20:30,673,6.51174533
2014-5-29 22:30,607,6.408528791
2014-5-30 0:30,497,6.208590026
2014-5-30 2:30,591,6.381816017
2014-5-30 4:30,607,6.408528791
2014-5-30 6:30,925,6.829793738
2014-5-30 8:30,611,6.415096959
2014-5-30 10:30,984,6.891625897
2014-5-30 14:30,1070,6.975413927
2014-5-30 18:30,875,6.774223886
2014-5-30 22:30,1019,6.926577033
2014-5-31 2:30,775,6.652863029
2014-5-31 6:30,819,6.708084084
2014-5-31 10:30,768,6.643789733
2014-5-31 14:30,774,6.651571874
2014-5-31 18:30,387,5.958424693
2014-5-31 22:30,639,6.459904454
2014-6-1 2:30,446,6.100318952
2014-6-1 6:30,325,5.783825182
2014-6-1 10:30,380,5.940171253
2014-6-1 14:30,672,6.510258341
2014-6-1 18:30,713,6.56948142
2014-6-1 22:30,893,6.794586581
2014-6-2 2:30,540,6.29156914
2014-6-2 6:30,730,6.593044534
2014-6-3 10:30,841,6.73459166
2014-6-3 14:30,917,6.821107472
2014-6-3 18:30,930,6.835184586
2014-6-3 22:30,1082,6.986566459
2014-6-4 2:30,747,6.616065185
2014-6-4 6:30,823,6.712956201
2014-6-4 10:30,650,6.476972363
2014-6-4 14:30,902,6.80461452
2014-6-4 18:30,589,6.378426184
2014-6-4 22:30,857,6.753437919
2014-6-5 2:30,977,6.884486652
2014-6-5 6:30,861,6.758094504
2014-6-5 10:30,567,6.340359304
2014-6-5 14:30,883,6.783325201
2014-6-5 18:30,841,6.73459166
2014-6-5 22:30,1272,7.148345744
2014-6-6 2:30,1612,7.385230923
2014-6-6 6:30,1241,7.123672785
2014-6-6 10:30,1345,7.204149292
2014-6-6 14:30,1230,7.114769448
2014-6-6 18:30,653,6.481577129
2014-6-6 22:30,926,6.830874235
2014-6-7 2:30,838,6.7310181
2014-6-7 6:30,1154,7.050989447
2014-6-7 10:30,719,6.577861358
2014-6-7 14:30,1419,7.257707677
2014-6-7 18:30,1677,7.424761762
2014-6-7 22:30,1727,7.454141078
2014-6-8 2:30,1085,6.989335266
2014-6-8 6:30,1075,6.980075941
2014-6-8 10:30,1292,7.163946684
2014-6-8 14:30,1093,6.996681488
2014-6-8 18:30,751,6.621405652
2014-6-8 22:30,1150,7.047517221
2014-6-9 2:30,1211,7.099201744
2014-6-9 6:30,1193,7.084226422
2014-6-9 10:30,1205,7.094234846
2014-6-9 14:30,1333,7.19518732
2014-6-9 18:30,1303,7.172424577
2014-6-9 22:30,1556,7.349873705
2014-6-10 2:30,839,6.732210706
2014-6-10 6:30,1105,7.007600614
2014-6-10 10:30,1064,6.96979067
2014-6-10 14:30,1054,6.960347729
2014-6-10 18:30,903,6.805722553
2014-6-10 22:30,1018,6.925595197
2014-6-11 2:30,730,6.593044534
2014-6-11 6:30,997,6.90475077
2014-6-11 10:30,1121,7.021976423
2014-6-11 14:30,1195,7.085901464
2014-6-11 18:30,1135,7.03438793
2014-6-11 22:30,1429,7.264730178
2014-6-12 2:30,1056,6.962243464
2014-6-12 6:30,1298,7.168579897
