Time,MPD,LN-MPD
240,MPD,LN-MPD
Time,MPD,LN-MPD
2016/10/8 1:45,207,5.332718793
2016/10/8 5:45,307,5.726847748
2016/10/8 9:45,310,5.736572297
2016/10/8 13:45,295,5.686975356
2016/10/8 17:45,156,5.049856007
2016/10/8 21:45,66,4.189654742
2016/10/9 1:45,257,5.549076085
2016/10/9 5:45,59,4.077537444
2016/10/9 9:45,26,3.258096538
2016/10/9 13:45,75,4.317488114
2016/10/9 17:45,170,5.135798437
2016/10/9 21:45,138,4.927253685
2016/10/10 1:45,120,4.787491743
2016/10/10 5:45,124,4.820281566
2016/10/10 9:45,188,5.236441963
2016/10/10 13:45,223,5.407171771
2016/10/10 17:45,195,5.272999559
2016/10/10 21:45,36,3.583518938
2016/10/11 1:45,41,3.713572067
2016/10/11 5:45,89,4.48863637
2016/10/11 9:45,176,5.170483995
2016/10/11 13:45,749,6.618738984
2016/10/11 17:45,1137,7.036148494
2016/10/11 21:45,910,6.8134446
2016/10/12 1:45,427,6.056784013
2016/10/12 5:45,586,6.37331979
2016/10/12 9:45,701,6.552507887
2016/10/12 13:45,434,6.073044534
2016/10/12 17:45,398,5.986452005
2016/10/12 21:45,422,6.045005314
2016/10/13 1:45,227,5.424950017
2016/10/13 5:45,183,5.209486153
2016/10/13 9:45,335,5.814130532
2016/10/13 13:45,434,6.073044534
2016/10/13 17:45,770,6.646390515
2016/10/13 21:45,476,6.165417854
2016/10/14 1:45,186,5.225746674
2016/10/14 5:45,74,4.304065093
2016/10/14 9:45,31,3.433987204
2016/10/14 13:45,24,3.17805383
2016/10/14 17:45,39,3.663561646
2016/10/14 21:45,42,3.737669618
2016/10/15 1:45,48,3.871201011
2016/10/15 5:45,41,3.713572067
2016/10/15 9:45,31,3.433987204
2016/10/15 13:45,35,3.555348061
2016/10/15 17:45,72,4.276666119
2016/10/15 21:45,34,3.526360525
2016/10/16 1:45,40,3.688879454
2016/10/16 5:45,45,3.80666249
2016/10/16 9:45,87,4.465908119
2016/10/16 13:45,215,5.370638028
2016/10/16 17:45,297,5.693732139
2016/10/16 21:45,315,5.752572639
2016/10/17 1:45,271,5.602118821
2016/10/17 5:45,334,5.811140993
2016/10/17 9:45,325,5.783825182
2016/10/17 13:45,454,6.118097198
2016/10/17 17:45,435,6.075346031
2016/10/17 21:45,321,5.771441123
2016/10/18 1:45,105,4.65396035
2016/10/18 5:45,39,3.663561646
2016/10/18 9:45,42,3.737669618
2016/10/18 13:45,60,4.094344562
2016/10/18 17:45,121,4.795790546
2016/10/18 21:45,413,6.023447593
2016/10/19 1:45,966,6.873163834
2016/10/19 5:45,973,6.880384082
2016/10/19 9:45,882,6.782192056
2016/10/19 13:45,1741,7.46221494
2016/10/19 17:45,2046,7.623641947
2016/10/19 21:45,554,6.317164687
2016/10/20 1:45,453,6.115892125
2016/10/20 3:45,394,5.976350909
2016/10/20 7:45,242,5.488937726
2016/10/20 13:45,160,5.075173815
2016/10/20 17:45,92,4.521788577
2016/10/20 21:45,115,4.744932128
2016/10/21 1:45,61,4.110873864
2016/10/21 5:45,34,3.526360525
2016/10/21 9:45,38,3.63758616
2016/10/21 13:45,55,4.007333185
2016/10/21 17:45,107,4.672828834
2016/10/21 21:45,126,4.836281907
2016/10/22 1:45,131,4.875197323
2016/10/22 5:45,206,5.327876169
2016/10/22 9:45,271,5.602118821
2016/10/22 13:45,523,6.259581464
2016/10/22 17:45,908,6.811244379
2016/10/22 21:45,687,6.532334292
2016/10/23 1:45,920,6.82437367
2016/10/23 5:45,632,6.448889394
2016/10/23 9:45,502,6.21860012
2016/10/23 13:45,627,6.440946541
2016/10/23 17:45,682,6.525029658
2016/10/23 21:45,468,6.148468296
2016/10/24 1:45,415,6.02827852
2016/10/24 5:45,660,6.492239835
2016/10/24 9:45,685,6.529418838
2016/10/24 13:45,758,6.630683386
2016/10/24 17:45,839,6.732210706
2016/10/24 21:45,350,5.857933154
2016/10/25 1:45,162,5.087596335
2016/10/25 5:45,117,4.762173935
2016/10/25 9:45,101,4.615120517
2016/10/25 13:45,81,4.394449155
2016/10/25 17:45,78,4.356708827
2016/10/25 21:45,56,4.025351691
2016/10/26 1:45,61,4.110873864
2016/10/26 5:45,61,4.110873864
2016/10/26 9:45,55,4.007333185
2016/10/26 13:45,106,4.663439094
2016/10/26 17:45,165,5.105945474
2016/10/26 21:45,136,4.912654886
2016/10/27 1:45,162,5.087596335
2016/10/27 5:45,148,4.997212274
2016/10/27 9:45,197,5.283203729
2016/10/27 13:45,244,5.497168225
2016/10/27 17:45,334,5.811140993
2016/10/27 21:45,229,5.433722004
2016/10/28 1:45,202,5.308267697
2016/10/28 5:45,203,5.313205979
2016/10/28 9:45,239,5.476463552
2016/10/28 13:45,249,5.517452896
2016/10/28 17:45,378,5.934894196
2016/10/28 21:45,142,4.955827058
2016/10/29 1:45,193,5.262690189
2016/10/29 5:45,170,5.135798437
2016/10/29 9:45,185,5.220355825
2016/10/29 13:45,440,6.086774727
2016/10/29 17:45,716,6.573680167
2016/10/29 21:45,544,6.298949247
2016/10/30 1:45,407,6.008813185
2016/10/30 9:45,776,6.65415252
2016/10/30 13:45,291,5.673323267
2016/10/30 17:45,181,5.198497031
2016/10/30 21:45,137,4.919980926
2016/10/31 1:45,42,3.737669618
2016/10/31 5:45,28,3.33220451
2016/10/31 9:45,12,2.48490665
2016/10/31 13:45,10,2.302585093
2016/10/31 17:45,31,3.433987204
2016/10/31 21:45,34,3.526360525
2016/11/1 1:45,27,3.295836866
2016/11/1 5:45,38,3.63758616
2016/11/1 9:45,92,4.521788577
2016/11/1 13:45,155,5.043425117
2016/11/1 17:45,476,6.165417854
2016/11/1 21:45,473,6.159095388
2016/11/2 1:45,705,6.558197803
2016/11/2 5:45,930,6.835184586
2016/11/2 9:45,1507,7.317876199
2016/11/2 13:45,1272,7.148345744
2016/11/2 17:45,1239,7.122059882
2016/11/2 21:45,681,6.523562306
2016/11/3 1:45,484,6.182084907
2016/11/3 5:45,370,5.913503006
2016/11/3 9:45,347,5.84932478
2016/11/3 13:45,339,5.826000107
2016/11/3 17:45,286,5.655991811
2016/11/3 21:45,127,4.844187086
2016/11/4 1:45,125,4.828313737
2016/11/4 5:45,65,4.17438727
2016/11/4 9:45,31,3.433987204
2016/11/4 13:45,64,4.158883083
2016/11/4 17:45,46,3.828641396
2016/11/4 21:45,28,3.33220451
2016/11/5 1:45,25,3.218875825
2016/11/5 5:45,43,3.761200116
2016/11/5 9:45,69,4.234106505
2016/11/5 13:45,112,4.718498871
2016/11/5 17:45,99,4.59511985
2016/11/5 21:45,162,5.087596335
2016/11/6 1:45,193,5.262690189
2016/11/6 5:45,276,5.620400866
2016/11/6 9:45,375,5.926926026
2016/11/6 13:45,464,6.139884552
2016/11/6 17:45,414,6.025865974
2016/11/6 21:45,305,5.720311777
2016/11/7 1:45,177,5.176149733
2016/11/7 5:45,167,5.117993812
2016/11/7 9:45,256,5.545177444
2016/11/7 13:45,420,6.040254711
2016/11/7 17:45,617,6.424869024
